Zip,Street,Region,Price,Bedrooms,Bathrooms,Floorspace,Pet_friendly,Furnished,lat,lng,crime_percentage,restaurant_num,restaurant_star,trans_time_driv,trans_time_walk,trans_time_bike
15213,3716 Orpwood St #1,"Oakland, Pittsburgh, PA",425,,,,N,N,40.4294131,-79.95276989999998,0.026561,4,4.25,5.0,24.5,9.0
15213,515 Cato St #3,"Oakland, Pittsburgh, PA",800,,,,N,Y,40.433290500000005,-79.9556971,0.026561,29,3.5517241379310347,4.0,24.5,9.0
15213,351 Atwood St,"Oakland, Pittsburgh, PA",5000,8,4,1600.0,Y,N,40.438690799999996,-79.954364,0.026561,71,3.6338028169014085,4.5,18.0,5.5
15213,3614 Bates St,"Oakland, Pittsburgh, PA",4300,7,3,,N,N,40.437389700000004,-79.9543116,0.026561,60,3.6166666666666667,3.5,17.5,6.0
15213,342 Meyran Ave,"Oakland, Pittsburgh, PA",5000,8,3,,N,N,40.4380905,-79.95560959999999,0.026561,123,3.5040650406504064,4.0,19.0,6.5
15213,3325 Ward St,"Oakland, Pittsburgh, PA",2750,5,3,2600.0,N,N,40.433910299999994,-79.9550354,0.026561,34,3.6323529411764706,4.5,22.5,8.0
15213,3228 Parkview Ave,"Oakland, Pittsburgh, PA",3100,5,1.5,1900.0,N,N,40.43017649999999,-79.9529225,0.026561,7,3.642857142857143,4.5,23.5,8.5
15213,3313 Juliet St,"Oakland, Pittsburgh, PA",3450,6,3,2246.0,N,N,40.433617299999995,-79.9565056,0.026561,28,3.517857142857143,4.0,24.5,9.0
15213,3442 Dawson St #1,"Oakland, Pittsburgh, PA",3400,6,2,2000.0,N,N,40.4357579,-79.9525938,0.026561,31,3.6774193548387095,4.0,18.0,6.5
15213,21 Wellsford St #1-2,"Oakland, Pittsburgh, PA",3600,6,2,,N,N,40.4354346,-79.95564329999998,0.026561,57,3.6403508771929824,3.5,22.0,8.5
15213,214 Dunseith St,"West Oakland, Pittsburgh, PA",3125,5,2,,N,N,40.4409308,-79.96479140000001,0.026561,9,3.388888888888889,7.0,24.0,8.5
15213,515 Cato St,"Oakland, Pittsburgh, PA",800,2,1,,N,N,40.433290500000005,-79.9556971,0.026561,29,3.5517241379310347,4.0,24.5,9.0
15213,765 Broughton St #5,"Bloomfield, Oakland, PA",900,1,1,,Y,N,40.4547783,-79.94660340000001,0.026561,30,3.2,7.0,20.5,8.5
15213,3221 Niagara St,"Oakland, Pittsburgh, PA",1200,3,1,1984.0,Y,N,40.4345406,-79.9601921,0.026561,20,3.35,8.0,26.5,9.5
15213,264 Melwood Ave #1R,"North Oakland, Pittsburgh, PA",1200,4,2,1500.0,N,N,40.451873600000006,-79.95046289999998,0.026561,66,3.371212121212121,6.0,14.5,6.5
15213,749 S Millvale Ave #42,"Bloomfield, Pittsburgh, PA",1080,2,1,,N,N,40.4554309,-79.94744690000002,0.026561,35,3.1,6.5,21.0,8.5
15213,3209 Parkview Ave,"Oakland, Pittsburgh, PA",1096,2,1,1200.0,Y,N,40.4297128,-79.9536334,0.026561,6,3.5833333333333335,4.5,24.0,8.5
15213,358 Ophelia St,"Oakland, Pittsburgh, PA",1600,4,2,1320.0,N,N,40.4339417,-79.9609911,0.026561,12,3.125,7.0,28.0,9.0
15213,3761 Childs St,"Oakland, Pittsburgh, PA",2250,5,3,1520.0,Y,Y,40.4295615,-79.95143890000001,0.026561,4,4.25,5.5,25.5,9.5
15213,264 Melwood Ave #R1,"North Oakland, Pittsburgh, PA",1200,4,2,1500.0,N,N,40.451873600000006,-79.95046289999998,0.026561,66,3.371212121212121,6.0,14.5,6.5
15213,67 Bates St,"Oakland, Pittsburgh, PA",1600,4,1.5,1798.0,Y,N,40.4333138,-79.958603,0.026561,5,3.3,4.0,26.5,11.0
15213,155 Chesterfield Rd,"West Oakland, Pittsburgh, PA",1195,3,1,,N,N,40.440084999999996,-79.9629533,0.026561,27,3.3518518518518516,6.5,21.5,7.5
15213,245 N Dithridge St #2,"North Oakland, Pittsburgh, PA",675,,,,N,Y,40.450112299999994,-79.95278309999998,0.026561,57,3.456140350877193,6.0,13.0,7.0
15213,306 Ophelia St,"Oakland, Pittsburgh, PA",1700,5,2,1770.0,N,N,40.434827,-79.963154,0.026561,18,3.4444444444444446,8.0,25.5,9.0
15213,3203 Niagara St,"Oakland, Pittsburgh, PA",1350,3,2,1324.0,N,N,40.434087100000006,-79.9605266,0.026561,12,3.25,8.5,27.0,10.0
15213,3418 Ward St #2,"Oakland, Pittsburgh, PA",760,2,1,852.0,N,N,40.4351526,-79.9541978,0.026561,46,3.7065217391304346,3.5,20.5,8.0
15213,3229 1/2 Ward St,"Oakland, Pittsburgh, PA",1695,4,1.5,,N,N,40.4316639,-79.9556522,0.026561,19,3.6578947368421053,5.0,25.5,9.0
15213,35 Enfield St,"Bloomfield, Pittsburgh, PA",2000,5,2,1760.0,Y,N,40.4559016,-79.9505406,0.026561,50,3.34,8.0,24.5,10.0
15213,4 Edith Pl,"Oakland, Pittsburgh, PA",995,2,1,1102.0,N,N,40.4331559,-79.954494,0.026561,28,3.642857142857143,5.0,23.0,7.5
15213,3444 Ward St #6,"Oakland, Pittsburgh, PA",1150,2,1,,N,N,40.4357887,-79.95395970000001,0.026561,50,3.66,3.5,20.0,7.0
15213,340 N Craig St #3,"North Oakland, Pittsburgh, PA",1200,2,1,600.0,Y,N,40.453185299999994,-79.95246490000001,0.026561,55,3.590909090909091,5.5,15.5,5.0
15213,344 N Craig St #4,"North Oakland, Pittsburgh, PA",1250,2,1,750.0,Y,Y,40.4533216,-79.95260470000001,0.026561,55,3.590909090909091,5.5,16.0,5.0
