Zip,Street,Region,Price,Bedrooms,Bathrooms,Floorspace,Pet_friendly,Furnished,lat,lng,crime_percentage,restaurant_num,restaurant_star,trans_time_driv,trans_time_walk,trans_time_bike
15213,3212 Kennett Sq,"Oakland, Pittsburgh, PA",1860,3,1,1200.0,N,N,40.4345369,-79.96105920000001,,0.5845095256001763,0.680952380952381,0.5925925925925926,0.4365079365079365,0.391304347826087
15213,420 Semple St #2,"Oakland, Pittsburgh, PA",1800,3,1,,N,N,40.436513500000004,-79.9545078,,0.7804322968356335,0.718032786885246,0.37037037037037035,0.30158730158730157,0.30434782608695654
15213,3530 Louisa St #4,"Oakland, Pittsburgh, PA",1695,2,1,700.0,N,N,40.438725,-79.957257,,0.9357999249384014,0.6835714285714285,0.37037037037037035,0.2857142857142857,0.2608695652173913
15213,3271 Kennett Sq,"Oakland, Pittsburgh, PA",1400,2,1,1248.0,N,N,40.434626,-79.960505,,0.5845095256001763,0.680952380952381,0.5925925925925926,0.4365079365079365,0.3695652173913043
15213,3709 Dawson St #3,"Oakland, Pittsburgh, PA",750,Studio,1,400.0,N,N,40.4376042,-79.9525282,,0.6611821114879038,0.734375,0.25925925925925924,0.24603174603174602,0.2608695652173913
15213,369 Meyran Ave,"Oakland, Pittsburgh, PA",3000,4,2,1642.0,N,N,40.43786850000001,-79.95464809999999,,0.8378579926326813,0.6975903614457831,0.2962962962962963,0.2857142857142857,0.2826086956521739
15213,3325 1/2 Parkview Ave,"Oakland, Pittsburgh, PA",1650,3,1,,N,N,40.433145,-79.9526812,,0.6160990961898495,0.732,0.3333333333333333,0.30952380952380953,0.3695652173913043
15213,401 N Neville St #C,"Shadyside, Pittsburgh, PA",675,Studio,1,,N,N,40.4514169,-79.94884559999998,,0.7678211003677589,0.6456140350877193,0.3333333333333333,0.2222222222222222,0.2608695652173913
15213,144 N Dithridge St,"North Oakland, Pittsburgh, PA",1700,2,1,983.0,N,Y,40.4482339,-79.950786,,0.872709432041508,0.704,0.37037037037037035,0.15079365079365079,0.15217391304347827
15213,3530 Louisa St #18,"Oakland, Pittsburgh, PA",1060,1,1,410.0,N,N,40.438725,-79.957257,,0.9357999249384014,0.6835714285714285,0.37037037037037035,0.2857142857142857,0.2608695652173913
15213,3707 Dawson St,"Oakland, Pittsburgh, PA",2025,3,1,1100.0,N,N,40.437432,-79.95247359999998,,0.643159160065232,0.7379310344827587,0.25925925925925924,0.24603174603174602,0.2608695652173913
15213,15 Boundary St #1,"Oakland, Pittsburgh, PA",2595,4,2,1350.0,N,N,40.4393701,-79.951206,,0.6009631911364649,0.8043478260869564,0.2962962962962963,0.18253968253968253,0.32608695652173914
15213,3325 Parkview Ave #1,"Oakland, Pittsburgh, PA",2000,4,1.5,,N,N,40.432534999999994,-79.952893,,0.6086825431062715,0.7541666666666667,0.2962962962962963,0.31746031746031744,0.391304347826087
