,Zip,Street,Region,Price,Bedrooms,Bathrooms,Floorspace,Pet_friendly,Furnished,lat,lng
129,15213,513 N Neville St #C2,"Shadyside, Pittsburgh, PA",975,1,1,,N,N,40.4500518,-79.94810249999999
130,15213,704 Enfield St,"Bloomfield, Pittsburgh, PA",1500,3,2,,Y,N,40.4560471,-79.9506413
131,15213,328 N Craig St #B,"North Oakland, Pittsburgh, PA",900,1,1,,N,N,40.452677,-79.9522796
132,15213,352 Semple St,"Oakland, Pittsburgh, PA",2300,4,2,1492.0,N,N,40.4375992,-79.95585
133,15213,3432 Ward St,"Oakland, Oakland, PA",1500,3,2,1952.0,N,N,40.4355822,-79.9541891
134,15213,2514 Allequippa St,"West Oakland, Pittsburgh, PA",2500,5,2.5,2225.0,N,N,40.441393,-79.9673703
135,15213,311 Morewood Ave #6,"Shadyside, Pittsburgh, PA",1995,3,1,1300.0,N,N,40.4538642,-79.94394989999999
136,15213,416 Semple St,"Oakland, Pittsburgh, PA",2200,4,2,,N,N,40.4366056,-79.95462619999999
138,15213,Craig House,"North Oakland, Pittsburgh, PA",1349,2,1,,N,N,40.4490241,-79.95060149999999
139,15213,21 Mackey St,"Oakland, Oakland, PA",1200,3,2,,N,N,40.4336165,-79.9594544
140,15213,3418 Ward St #3,"Oakland, Pittsburgh, PA",750,1,1,600.0,N,N,40.4351526,-79.9541978
141,15213,3621 Childs St,"Oakland, Pittsburgh, PA",1550,3,1,1400.0,N,N,40.4309373,-79.9522222
142,15213,344 Melwood Ave #2,"North Oakland, Pittsburgh, PA",2000,4,2,,Y,N,40.4535691,-79.9513808
143,15213,6 Enfield St #TWO,"Bloomfield, Pittsburgh, PA",2000,4,2,,Y,N,40.4560685,-79.9506815
144,15213,3211 Ward St #A,"Oakland, Pittsburgh, PA",1200,2,1,,Y,N,40.4311948,-79.9555981
145,15213,3715 Parkview Ave,"Oakland, Pittsburgh, PA",3450,6,3,2444.0,N,N,40.437593,-79.95143399999999
146,15213,221 Atwood St #A,"Oakland, Pittsburgh, PA",1500,2,1,800.0,N,N,40.4406368,-79.9569398
147,15213,221 Atwood St #L,"Oakland, Pittsburgh, PA",1500,2,1,800.0,N,N,40.4406368,-79.9569398
148,15213,121 Chesterfield Rd,"West Oakland, Pittsburgh, PA",1900,3,1,,N,N,40.4396245,-79.9623404
149,15213,205 Robinson St #8,"West Oakland, Pittsburgh, PA",975,1,1,,Y,N,40.44059670000001,-79.9659131
150,15213,3611 Boulevard Of The Allies,"Oakland, Pittsburgh, PA",1700,3,1.5,1400.0,N,N,40.4347189,-79.953994
151,15213,338 Oakland Ave,"Oakland, Pittsburgh, PA",1380,2,1,,N,N,40.439259,-79.95444049999999
152,15213,3301 Juliet St #2,"Oakland, Pittsburgh, PA",1800,3,1,,N,N,40.4333275,-79.9565712
153,15213,4917 Centre Ave #101,"Bloomfield, Pittsburgh, PA",1499,2,1.5,1100.0,N,N,40.4539106,-79.9458295
154,15213,3266 Niagara Sq,"Oakland, Oakland, PA",1395,2,1,,N,N,40.4345434,-79.95953589999999
155,15213,376 Meyran Ave #2,"Oakland, Pittsburgh, PA",1600,3,1,20.0,N,N,40.4374662,-79.95477919999999
157,15213,3401 Forbes Ave #108,"Oakland, Pittsburgh, PA",1450,2,1,,N,N,40.438781,-79.9613679
158,15213,3261 Parkview Ave,"Oakland, Pittsburgh, PA",1590,3,2,1824.0,N,N,40.4311181,-79.95316199999999
159,15213,"3 bed, $1,875","Oakland, Pittsburgh, PA",1875,3,1,,Y,N,40.4379259,-79.9556424
160,15213,3297 Kennett Sq,"Oakland, Pittsburgh, PA",1100,1,1,561.0,Y,N,40.434343,-79.960724
161,15213,332 Atwood St,"Oakland, Pittsburgh, PA",2500,6,2,,N,N,40.4388059,-79.9550958
162,15213,363 Semple St,"Oakland, Pittsburgh, PA",2500,5,2,1358.0,N,N,40.4375514,-79.9553037
163,15213,Sussex Apartments,"Oakland, Pittsburgh, PA",780,Studio+,1,,Y,N,40.4379301,-79.95758289999999
164,15213,3624 Bates St #1,"Oakland, Pittsburgh, PA",1999,3,2,,N,N,40.4377311,-79.9540908
165,15213,417 Semple St #2,"Oakland, Pittsburgh, PA",3250,5,2,,N,N,40.436894,-79.954278
166,15213,3624 Bates St #2,"Oakland, Pittsburgh, PA",1199,1,1,,N,N,40.4377311,-79.9540908
167,15213,320 Ophelia St,"Oakland, Pittsburgh, PA",2100,4,3,,N,N,40.43461870000001,-79.96249139999999
168,15213,336 Joncaire St,"Oakland, Pittsburgh, PA",2000,4,2,,N,N,40.440325,-79.953021
169,15213,3410 Allequippa St,"West Oakland, Pittsburgh, PA",2200,3,1.5,930.0,N,N,40.442837,-79.9654599
170,15213,373 Semple St,"Oakland, Pittsburgh, PA",3700,6,2,,N,N,40.4374395,-79.9550873
171,15213,263 Robinson St,"West Oakland, Pittsburgh, PA",1595,3,2,2250.0,N,N,40.4420654,-79.9658956
172,15213,3202 Niagara St,"Oakland, Pittsburgh, PA",1600,3,2,,N,N,40.4338981,-79.9600659
173,15213,352 N Craig St #4,"North Oakland, Pittsburgh, PA",1295,3,3,,N,N,40.4536521,-79.95277949999999
174,15213,King Edward Annex,"North Oakland, Pittsburgh, PA",1100,1,1,,Y,N,40.4502749,-79.9500486
175,15213,18 Wellsford St #1-2,"Oakland, Pittsburgh, PA",3300,6,2,,N,N,40.4353568,-79.95521629999999
176,15213,352 S Bouquet St,"Oakland, Oakland, PA",3800,5,2,,N,N,40.4397787,-79.95275649999999
177,15213,166 N Dithridge St #5J,"North Oakland, Oakland, PA",1000,1,1,,N,N,40.448595,-79.95133229999999
178,15213,3720 Parkview Ave,"Oakland, Pittsburgh, PA",2400,3,1.5,,N,N,40.4376118,-79.9509011
179,15213,311 Meyran Ave #1,"Oakland, Pittsburgh, PA",2600,4,1,,N,N,40.438997,-79.956113
180,15213,412 Morewood Ave,"Shadyside, Pittsburgh, PA",3250,3,3,2150.0,N,Y,40.452624,-79.9439699
181,15213,367 S Bouquet St,"Oakland, Pittsburgh, PA",5400,6,3,,N,N,40.4397822,-79.9522004
182,15213,12 Ellsworth Ter,"Shadyside, Oakland, PA",3350,3,2.5,,Y,N,40.4498443,-79.9469
183,15213,504 N Neville St #12,"North Oakland, Oakland, PA",3500,2,2,,Y,N,40.45017290000001,-79.9487716
184,15213,3526 Frazier St,"Oakland, Oakland, PA",3000,3,3.5,,Y,N,40.4309503,-79.9559591
185,15217,Phillips Ave Apartments,"Squirrel Hill South, Pittsburgh, PA",905,1,1,,N,N,40.428391,-79.924308
186,15217,Wendover Apartments,"Squirrel Hill South, Pittsburgh, PA",1070 - 1535,1-2,1,,Y,N,40.43204000000001,-79.928715
187,15217,Maxon Towers Apartments,"Squirrel Hill North, Pittsburgh, PA",1360 - 3200,1-3,1-2,,N,N,40.4381792,-79.91844900000001
188,15217,Morrowfield Apartments,"Squirrel Hill South, Pittsburgh, PA",840 - 1275,Studio-1,1,,Y,N,40.428391,-79.924308
189,15217,Hobart Court Apartments,"Squirrel Hill South, Pittsburgh, PA",1388 - 1703,2,1,,Y,N,40.432967,-79.92724199999999
190,15217,Hempstead Properties,"Squirrel Hill South, Pittsburgh, PA",1396 - 1581,2,1,,Y,N,40.4279178,-79.9128443
191,15217,Walnut Towers at Frick Park Apartments,"Squirrel Hill South, Pittsburgh, PA",1215 - 2110,1-2,1-1.5,,Y,Y,40.4267788,-79.90929729999999
192,15217,Forbes Terrace Apartments,"Squirrel Hill North, Pittsburgh, PA",2235 - 4038,3-4,1-2.5,,Y,N,40.4383595,-79.9250343
193,15217,The Gateway at Summerset Apartments,"Squirrel Hill South, Pittsburgh, PA",1511 - 2644,1-2,1-2,,Y,N,40.4149382,-79.9219182
194,15217,Walnut on Wightman Apartments,"Squirrel Hill South, Pittsburgh, PA",3380,4,2.5,,Y,N,40.4267788,-79.90929729999999
195,15217,Beacon Commons Apartments,"Squirrel Hill South, Pittsburgh, PA",Contact For Price,3,1.5-2,,Y,N,40.434773,-79.926018
196,15217,Walnut on the Park Apartments,"Squirrel Hill South, Pittsburgh, PA",Contact For Price,1-2,1,,Y,N,40.4298081,-79.93145609999999
197,15217,4350 Murray Ave #1,"Greenfield, Pittsburgh, PA",800,2,1,1100.0,Y,N,40.4204309,-79.92869069999999
199,15217,4111 Windsor St,"Greenfield, Pittsburgh, PA",1295,3,1,1700.0,N,N,40.42465,-79.92886229999999
200,15217,2360 Eldridge St,"Squirrel Hill South, Pittsburgh, PA",1050,2,1,,Y,N,40.4298782,-79.9227272
201,15217,6212 Monitor St,"Squirrel Hill South, Pittsburgh, PA",1695,4,2,1897.0,N,N,40.4251314,-79.9251594
202,15217,3633 Beechwood Blvd,"Greenfield, Pittsburgh, PA",1195,3,1.5,1232.0,Y,N,40.4262377,-79.9269109
203,15217,5680 Forward Ave #11,"Squirrel Hill South, Pittsburgh, PA",750,1,1,750.0,N,N,40.4287479,-79.9250024
204,15217,1655 Beechwood Blvd,"Squirrel Hill North, Squirrel Hill, PA",1895,4,2,,Y,N,40.4391711,-79.9160016
205,15217,1512 Denniston St,"Squirrel Hill North, Pittsburgh, PA",1750,3,1,1560.0,N,N,40.4416552,-79.9186337
206,15217,6359 Alderson St,"Squirrel Hill South, Squirrel Hill, PA",1250,2,1,,N,N,40.4279531,-79.9198025
207,15217,5855 Darlington Rd #C3,"Squirrel Hill South, Pittsburgh, PA",825,Studio,1,400.0,Y,N,40.437295,-79.9206604
208,15217,3621 Beechwood Blvd,"Greenfield, Pittsburgh, PA",1800,3,1.5,1624.0,Y,N,40.4258936,-79.9269334
209,15217,1041 Mirror St,"Greenfield, Pittsburgh, PA",1650,3,2,1411.0,Y,Y,40.4263512,-79.92942599999999
210,15217,3992 Beechwood Blvd,"Greenfield, Pittsburgh, PA",1295,2,1,1200.0,N,N,40.42766,-79.9365617
