Zip,Street,Region,Price,Bedrooms,Bathrooms,Floorspace,Pet_friendly,Furnished
15213,3418 Ward St #2,"Oakland, Pittsburgh, PA",760,2,1,852 ,N,N
15213,3229 1/2 Ward St,"Oakland, Pittsburgh, PA",1695,4,1.5,,N,N
15213,35 Enfield St,"Bloomfield, Pittsburgh, PA",2000,5,2,1760 ,Y,N
15213,4 Edith Pl,"Oakland, Pittsburgh, PA",995,2,1,1102 ,N,N
15213,3444 Ward St #6,"Oakland, Pittsburgh, PA",1150,2,1,,N,N
15213,340 N Craig St #3,"North Oakland, Pittsburgh, PA",1200,2,1,600 ,Y,N
15213,344 N Craig St #4,"North Oakland, Pittsburgh, PA",1250,2,1,750 ,Y,Y
15213,3221 Juliet St,"Oakland, Pittsburgh, PA",2100,6,3,,N,N
15213,356 Ophelia St,"Oakland, Pittsburgh, PA",1800,4,2,1308 ,N,N
15213,407 Semple St #6,"Oakland, Pittsburgh, PA",1200,2,1,1350 ,N,N
15213,3235 Parkview Ave,"Oakland, Pittsburgh, PA",650,1,1,200 ,N,N
15213,3232 Parkview Ave,"Oakland, Pittsburgh, PA",1750,4,2,1200 ,N,N
15213,4 Wellsford St,"Oakland, Pittsburgh, PA",3850,7,3,,N,N
15213,3400 Juliet St,"Oakland, Pittsburgh, PA",1495,4,2,1744 ,N,N
15213,3223 Joe Hammer Sq,"Oakland, Pittsburgh, PA",2000,4,1,1675 ,N,N
15213,222 Morewood Ave #2,"Bloomfield, Pittsburgh, PA",1025,2,1,,Y,N
15213,Address Not Disclosed,"Bloomfield, Pittsburgh, PA",1300,2,1,,N,N
15213,414 McKee Pl #3,"Oakland, Pittsburgh, PA",1175,2,1,,Y,N
15213,3235 Parkview Ave #102,"Oakland, Pittsburgh, PA",650,,,,N,Y
15213,339 Oakland Ave,"Oakland, Pittsburgh, PA",3000,5,2,2630 ,N,N
15213,3327 Niagara St,"Oakland, Pittsburgh, PA",995,2,1,,Y,N
15213,3314 Dawson St,"Oakland, Pittsburgh, PA",1395,4,1,,N,N
15213,3213 Ward St #A,"Oakland, Pittsburgh, PA",1200,2,1,,Y,N
15213,Address Not Disclosed,"Oakland, Pittsburgh, PA",2900,5,2,2000 ,N,Y
15213,371 S Bouquet St,"Oakland, Pittsburgh, PA",1500,3,1,,N,N
15213,273 Robinson St,"West Oakland, Pittsburgh, PA",1495,3,1,,N,N
